COMPOUND	YEAR	STATE_FIPS_CODE	COUNTY_FIPS_CODE	EPEST_LOW_KG	EPEST_HIGH_KG
2,4-D	2009	01	001	597.5	986.4
2,4-D	2009	01	003	3351	4858.5
2,4-D	2009	01	005	8158.1	8219.1
2,4-D	2009	01	007	53.8	98.8
2,4-D	2009	01	009	12369.3	12646.9
2,4-D	2009	01	011	317.7	547.2
2,4-D	2009	01	013	1537.7	1965
2,4-D	2009	01	015	4870.3	5172
2,4-D	2009	01	017	190	272.6
2,4-D	2009	01	019	5257.9	6538.1
2,4-D	2009	01	021	779.7	919.3
2,4-D	2009	01	023	867.9	877.5
2,4-D	2009	01	025	830.5	862.2
2,4-D	2009	01	027	162.9	175.5
2,4-D	2009	01	029	3801.6	3818.2
2,4-D	2009	01	031	9799.2	9942.6
2,4-D	2009	01	033	57.8	4210.9
2,4-D	2009	01	035	1524.4	1808.7
2,4-D	2009	01	037	65.6	70.9
2,4-D	2009	01	039	8445.8	8511.4
2,4-D	2009	01	041	6625.7	6644.3
2,4-D	2009	01	043	17533.9	17935.4
2,4-D	2009	01	045	6374.2	6400.8
2,4-D	2009	01	047	865.5	2076.7
2,4-D	2009	01	049	17419.2	18549.2
2,4-D	2009	01	051	745.9	1417.6
2,4-D	2009	01	053	2102.4	3451.2
2,4-D	2009	01	055	6806.8	7271.4
2,4-D	2009	01	057	402.6	1017.8
2,4-D	2009	01	059	6.8	4091
2,4-D	2009	01	061	11633.8	11779.7
2,4-D	2009	01	063	241	298.1
2,4-D	2009	01	065	497.3	984.6
2,4-D	2009	01	067	8415.6	8455.7
2,4-D	2009	01	069	9927.4	10074.9
2,4-D	2009	01	071	12488.2	14772.3
2,4-D	2009	01	073	73.3	97.4
2,4-D	2009	01	075	91	348.3
2,4-D	2009	01	077	75	6742.7
2,4-D	2009	01	079	98.2	6530
2,4-D	2009	01	081	361.1	507.8
2,4-D	2009	01	083	287.1	7285.9
2,4-D	2009	01	085	662.9	1450.8
2,4-D	2009	01	087	377.2	966.3
2,4-D	2009	01	089	188.3	5796.5
2,4-D	2009	01	091	549.2	771.1
2,4-D	2009	01	093	4.5	2514.4
2,4-D	2009	01	095	11987.4	12355.3
2,4-D	2009	01	097	2286.3	2819.6
2,4-D	2009	01	099	2047	2566.5
2,4-D	2009	01	101	768.5	1434.9
2,4-D	2009	01	103	34.7	4283.8
2,4-D	2009	01	105	466.4	852.6
2,4-D	2009	01	107	203.6	940.1
2,4-D	2009	01	109	9594.6	9637.9
