COMPOUND	YEAR	STATE_FIPS_CODE	COUNTY_FIPS_CODE	EPEST_LOW_KG	EPEST_HIGH_KG
1-METHYL CYCLOPROPENE	2018	36	003	0.1	0.1
1-METHYL CYCLOPROPENE	2018	36	007		0.1
1-METHYL CYCLOPROPENE	2018	36	009	0.1	0.1
1-METHYL CYCLOPROPENE	2018	36	011		0.1
1-METHYL CYCLOPROPENE	2018	36	013	0.1	0.1
1-METHYL CYCLOPROPENE	2018	36	015		0.2
1-METHYL CYCLOPROPENE	2018	36	017		0
1-METHYL CYCLOPROPENE	2018	36	023		0.1
1-METHYL CYCLOPROPENE	2018	36	029	0	0
1-METHYL CYCLOPROPENE	2018	36	037	0	0
1-METHYL CYCLOPROPENE	2018	36	043		0.1
1-METHYL CYCLOPROPENE	2018	36	051	0.1	0.1
1-METHYL CYCLOPROPENE	2018	36	053		0.1
1-METHYL CYCLOPROPENE	2018	36	055	1.5	1.5
1-METHYL CYCLOPROPENE	2018	36	063	5.6	5.6
1-METHYL CYCLOPROPENE	2018	36	065		0.4
1-METHYL CYCLOPROPENE	2018	36	067		1.1
1-METHYL CYCLOPROPENE	2018	36	069	0.1	0.1
1-METHYL CYCLOPROPENE	2018	36	073	9.9	9.9
1-METHYL CYCLOPROPENE	2018	36	075		0.5
1-METHYL CYCLOPROPENE	2018	36	077		0.3
1-METHYL CYCLOPROPENE	2018	36	097		0.1
1-METHYL CYCLOPROPENE	2018	36	099	0.1	0.1
1-METHYL CYCLOPROPENE	2018	36	101	0	0
1-METHYL CYCLOPROPENE	2018	36	107		0.1
1-METHYL CYCLOPROPENE	2018	36	109		0.1
1-METHYL CYCLOPROPENE	2018	36	117	40.8	40.8
1-METHYL CYCLOPROPENE	2018	36	121	0.1	0.1
1-METHYL CYCLOPROPENE	2018	36	123	0.2	0.2
1-METHYL CYCLOPROPENE	2018	41	001	0	0
1-METHYL CYCLOPROPENE	2018	41	021	0	0
1-METHYL CYCLOPROPENE	2018	41	027	0.5	0.5
1-METHYL CYCLOPROPENE	2018	41	049	0	0
1-METHYL CYCLOPROPENE	2018	41	055	0	0
1-METHYL CYCLOPROPENE	2018	41	059	1.1	1.1
1-METHYL CYCLOPROPENE	2018	41	061	0	0
1-METHYL CYCLOPROPENE	2018	41	063	0	0
1-METHYL CYCLOPROPENE	2018	41	065	0	0
1-METHYL CYCLOPROPENE	2018	53	001		1.5
1-METHYL CYCLOPROPENE	2018	53	003	0	0
1-METHYL CYCLOPROPENE	2018	53	005	5	5
1-METHYL CYCLOPROPENE	2018	53	007	4.1	4.1
1-METHYL CYCLOPROPENE	2018	53	009	0	0
1-METHYL CYCLOPROPENE	2018	53	011	0	0
1-METHYL CYCLOPROPENE	2018	53	013	0	0
1-METHYL CYCLOPROPENE	2018	53	015	0	0
1-METHYL CYCLOPROPENE	2018	53	017		3.1
1-METHYL CYCLOPROPENE	2018	53	019		0
1-METHYL CYCLOPROPENE	2018	53	021		4.6
1-METHYL CYCLOPROPENE	2018	53	023	0	0
1-METHYL CYCLOPROPENE	2018	53	025		20.8
1-METHYL CYCLOPROPENE	2018	53	027	0	0
1-METHYL CYCLOPROPENE	2018	53	029	0	0
1-METHYL CYCLOPROPENE	2018	53	031	0	0
1-METHYL CYCLOPROPENE	2018	53	033	0	0
1-METHYL CYCLOPROPENE	2018	53	035	0	0
1-METHYL CYCLOPROPENE	2018	53	037	0.3	0.3
1-METHYL CYCLOPROPENE	2018	53	039	0.2	0.2
1-METHYL CYCLOPROPENE	2018	53	041	0	0
1-METHYL CYCLOPROPENE	2018	53	043		0
1-METHYL CYCLOPROPENE	2018	53	045	0	0
1-METHYL CYCLOPROPENE	2018	53	047	7.7	7.7
1-METHYL CYCLOPROPENE	2018	53	051		0
1-METHYL CYCLOPROPENE	2018	53	053	0.1	0.1
1-METHYL CYCLOPROPENE	2018	53	055	0	0
1-METHYL CYCLOPROPENE	2018	53	057	0.1	0.1
1-METHYL CYCLOPROPENE	2018	53	059	0	0
